word,row,col,page,identifier,is_dir,link,sim_score,accueil,5,5
boule,3,3,default12,boule@default12,NO,,0.45725319677468756
réaction,2,1,default12,réaction@default12,NO,,0.3595305230137338
machine,2,4,default12,machine@default12,NO,,0.4193748216589338
default37,0,3,default12,default37@default12,DIR,default37,0
sympathique,0,2,default13,sympathique@default13,NO,,0.42434640585271177
default83,2,0,default13,default83@default13,DIR,default83,0
super-héroïne,3,3,default13,super-héroïne@default13,NO,,0.3493677010928635
hyper,0,4,default13,hyper@default13,NO,,0.3765112586250311
default45,2,3,default13,default45@default13,DIR,default45,0
pré-ado,2,1,default13,pré-ado@default13,NO,,0.43323307393576593
aise,3,2,default13,aise@default13,NO,,0.34475652008037083
default87,3,0,default13,default87@default13,DIR,default87,0
monitrice,1,4,default13,monitrice@default13,NO,,0.3502581706325636
moche,4,3,default13,moche@default13,NO,,0.4046677005746986
mature,2,4,default13,mature@default13,NO,,0.41508880820806493
gentille,0,1,default13,gentille@default13,NO,,0.43635955719331654
default70,0,0,default13,default70@default13,DIR,default70,0
récréation,4,4,default13,récréation@default13,NO,,0.3820924718930274
vacance,3,1,default13,vacance@default13,NO,,0.36619844733280826
tranquille,1,3,default13,tranquille@default13,NO,,0.4230871858893479
pépette,2,2,default13,pépette@default13,NO,,0.39794636654963955
inter,0,3,default13,inter@default13,NO,,0.305616483151002
surnommer,4,0,default13,surnommer@default13,NO,,0.2779789059052368
badminton,4,2,default13,badminton@default13,NO,,0.3360366143255292
ado,1,0,default13,ado@default13,NO,,0.44875184355832065
jeunesse,3,4,default13,jeunesse@default13,NO,,0.40727330382708826
judo,4,1,default13,judo@default13,NO,,0.36316971712176394
môme,1,1,default13,môme@default13,NO,,0.4099547868857696
solitaire,1,2,default13,solitaire@default13,NO,,0.3971060202844392
carton,0,0,default14,carton@default14,NO,,0.4368585359710342
ballon,2,4,default14,ballon@default14,NO,,0.4197574762667895
default74,3,4,default14,default74@default14,DIR,default74,0
default65,2,0,default14,default65@default14,DIR,default65,0
cerf-volant,1,4,default14,cerf-volant@default14,NO,,0.3804881329290005
carnet,0,3,default14,carnet@default14,NO,,0.40711017066372857
pied,4,0,default14,pied@default14,NO,,0.4037844718840504
chèque,4,1,default14,chèque@default14,NO,,0.36270067434606434
mètre,3,3,default14,mètre@default14,NO,,0.36818991750302454
banc,4,2,default14,banc@default14,NO,,0.40018815949818143
cahier,0,4,default14,cahier@default14,NO,,0.3917344696898821
magnétophone,1,0,default14,magnétophone@default14,NO,,0.3456280714893575
arc,3,2,default14,arc@default14,NO,,0.3263314513813933
microscopique,4,3,default14,microscopique@default14,NO,,0.3480783543650259
micro,1,3,default14,micro@default14,NO,,0.3642190515939224
ciseau,0,1,default14,ciseau@default14,NO,,0.38473371830655334
panier,2,1,default14,panier@default14,NO,,0.33517970885324677
salto,3,0,default14,salto@default14,NO,,0.30966142449878786
pois,2,3,default14,pois@default14,NO,,0.36350646227137584
thème,1,2,default14,thème@default14,NO,,0.33619919214152627
servant,0,2,default14,servant@default14,NO,,0.3438537500798604
default61,2,2,default14,default61@default14,DIR,default61,0
papier,3,1,default14,papier@default14,NO,,0.43817225334377863
pot,1,1,default14,pot@default14,NO,,0.39328265417891994
nez,4,4,default14,nez@default14,NO,,0.37786399783682023
confier,1,0,default15,confier@default15,NO,,0.5058622197387859
apporter,3,4,default15,apporter@default15,NO,,0.48276639671260557
default97,4,0,default15,default97@default15,DIR,default97,0
téléphoner,4,4,default15,téléphoner@default15,NO,,0.40359897416546153
remettre,3,0,default15,remettre@default15,NO,,0.5310257941931003
revoir,2,1,default15,revoir@default15,NO,,0.4490799162533239
préoccuper,2,0,default15,préoccuper@default15,NO,,0.5365719926597206
préparer,4,1,default15,préparer@default15,NO,,0.5188118010401928
prendre,2,2,default15,prendre@default15,NO,,0.5487658047981476
interdire,0,0,default15,interdire@default15,NO,,0.5037770711267159
prêter,2,4,default15,prêter@default15,NO,,0.43820586995268807
couper,1,4,default15,couper@default15,NO,,0.44249498523534203
retirer,1,2,default15,retirer@default15,NO,,0.517477480775941
éviter,0,3,default15,éviter@default15,NO,,0.49047667251741056
mener,3,3,default15,mener@default15,NO,,0.45954739256803767
prévenir,2,3,default15,prévenir@default15,NO,,0.4864233670096998
baser,0,1,default15,baser@default15,NO,,0.4719016206471932
envisager,0,2,default15,envisager@default15,NO,,0.5260697833375984
mettre,4,2,default15,mettre@default15,NO,,0.5305905184619342
traiter,1,1,default15,traiter@default15,NO,,0.49565838667511064
critiquer,0,4,default15,critiquer@default15,NO,,0.47619445373239644
dépendre,1,3,default15,dépendre@default15,NO,,0.4558505279647106
réfléchir,4,3,default15,réfléchir@default15,NO,,0.53778077579276
rappeler,3,1,default15,rappeler@default15,NO,,0.5109808100773836
évoquer,3,2,default15,évoquer@default15,NO,,0.5076761854493785
junior,1,2,default16,junior@default16,NO,,0.3287689040019012
menuisier,3,4,default16,menuisier@default16,NO,,0.38949936724321454
default78,4,1,default16,default78@default16,DIR,default78,0
militaire,4,2,default16,militaire@default16,NO,,0.39284010868645414
dentiste,2,0,default16,dentiste@default16,NO,,0.3886643465992996
marine,2,2,default16,marine@default16,NO,,0.3724210331897563
baptiste,3,1,default16,baptiste@default16,NO,,0.32261854849267624
copine,1,0,default16,copine@default16,NO,,0.40376895368680765
vétérinaire,4,4,default16,vétérinaire@default16,NO,,0.39510507863986466
cimetière,4,3,default16,cimetière@default16,NO,,0.33250586838885965
famille,2,3,default16,famille@default16,NO,,0.40739412485694115
ferme,1,1,default16,ferme@default16,NO,,0.36734236443642043
domestique,3,0,default16,domestique@default16,NO,,0.39222634551099345
moto,0,2,default16,moto@default16,NO,,0.3674698514760465
poney,2,1,default16,poney@default16,NO,,0.3646752251954819
passion,4,0,default16,passion@default16,NO,,0.3447499114045435
coiffeur,1,3,default16,coiffeur@default16,NO,,0.38823555853703484
default33,1,4,default16,default33@default16,DIR,default33,0
caravane,0,0,default16,caravane@default16,NO,,0.3633069730436751
default51,0,1,default16,default51@default16,DIR,default51,0
tata,3,3,default16,tata@default16,NO,,0.32811533947012694
marina,0,4,default16,marina@default16,NO,,0.3253901338709979
métier,3,2,default16,métier@default16,NO,,0.36611158069390004
nounou,2,4,default16,nounou@default16,NO,,0.3974598609700113
nager,0,3,default16,nager@default16,NO,,0.2895852612043538
technique,2,2,default17,technique@default17,NO,,0.3942009659536667
veine,1,4,default17,veine@default17,NO,,0.36521914304070136
default60,2,4,default17,default60@default17,DIR,default60,0
science,1,2,default17,science@default17,NO,,0.37742764854991895
ennui,3,4,default17,ennui@default17,NO,,0.3365583624556855
orage,0,4,default17,orage@default17,NO,,0.32056526116110706
default27,4,2,default17,default27@default17,DIR,default27,0
brin,3,1,default17,brin@default17,NO,,0.3340252204757199
apnée,1,3,default17,apnée@default17,NO,,0.3410829682003095
asile,4,4,default17,asile@default17,NO,,0.29906280713928846
imagination,1,0,default17,imagination@default17,NO,,0.38090310784996007
proie,2,3,default17,proie@default17,NO,,0.33886965881395836
respiration,4,0,default17,respiration@default17,NO,,0.39066217020752125
default57,1,1,default17,default57@default17,DIR,default57,0
colère,0,0,default17,colère@default17,NO,,0.37036801035627054
mécanique,0,3,default17,mécanique@default17,NO,,0.40467915909211216
