word,row,col,page,identifier
poser,11,24,accueil,poser@accueil
framboise,11,25,accueil,framboise@accueil
marmotte,11,26,accueil,marmotte@accueil
exister,11,27,accueil,exister@accueil
courant,11,28,accueil,courant@accueil
barder,11,29,accueil,barder@accueil
casserole,11,30,accueil,casserole@accueil
pommier,11,31,accueil,pommier@accueil
dessert,11,32,accueil,dessert@accueil
concentrer,11,33,accueil,concentrer@accueil
réparer,11,34,accueil,réparer@accueil
engloutir,11,35,accueil,engloutir@accueil
feu,11,36,accueil,feu@accueil
minute,11,37,accueil,minute@accueil
ronfler,11,38,accueil,ronfler@accueil
mensonge,11,39,accueil,mensonge@accueil
pourquoi,11,40,accueil,pourquoi@accueil
recherche,11,41,accueil,recherche@accueil
nan,11,42,accueil,nan@accueil
couloir,12,0,accueil,couloir@accueil
remontée,12,1,accueil,remontée@accueil
douche,12,2,accueil,douche@accueil
déborder,12,3,accueil,déborder@accueil
tortiller,12,4,accueil,tortiller@accueil
épicerie,12,5,accueil,épicerie@accueil
raccompagner,12,6,accueil,raccompagner@accueil
terminer,12,7,accueil,terminer@accueil
aquarium,12,8,accueil,aquarium@accueil
fermer,12,9,accueil,fermer@accueil
marionnette,12,10,accueil,marionnette@accueil
regard,12,11,accueil,regard@accueil
spécialement,12,12,accueil,spécialement@accueil
soir,12,13,accueil,soir@accueil
sac,12,14,accueil,sac@accueil
descenda,12,15,accueil,descenda@accueil
attentif,12,16,accueil,attentif@accueil
éplucher,12,17,accueil,éplucher@accueil
combat,12,18,accueil,combat@accueil
griller,12,19,accueil,griller@accueil
avis,12,20,accueil,avis@accueil
histoire,12,21,accueil,histoire@accueil
flamand,12,22,accueil,flamand@accueil
mander,12,23,accueil,mander@accueil
ordonnance,12,24,accueil,ordonnance@accueil
pareil,12,25,accueil,pareil@accueil
retirer,12,26,accueil,retirer@accueil
maria,12,27,accueil,maria@accueil
recommencer,12,28,accueil,recommencer@accueil
castor,12,29,accueil,castor@accueil
rencontrer,12,30,accueil,rencontrer@accueil
chevalier,12,31,accueil,chevalier@accueil
épuisette,12,32,accueil,épuisette@accueil
foncé,12,33,accueil,foncé@accueil
