word,row,col,page,identifier,is_dir,link,sim_score,Accueil,3,5
(faire du) vélo,3,1,19A - TRANSPORTS,(faire du) vélo@19A - TRANSPORTS,NO,,0
oups,4,1,19A - TRANSPORTS,oups55@19A - TRANSPORTS,NO,,0
"regarder, voir",0,2,19A - TRANSPORTS,"regarder, voir2@19A - TRANSPORTS",NO,,0
(faire) rouler,1,2,19A - TRANSPORTS,(faire) rouler0@19A - TRANSPORTS,NO,,0
accident,2,2,19A - TRANSPORTS,accident@19A - TRANSPORTS,NO,,0
19B - TRANSPORTS,3,2,19A - TRANSPORTS,tourner la page24@19A - TRANSPORTS,DIR,19B - TRANSPORTS,0
8A - QUESTIONS,0,0,7B-CATÉGORIES,questions@7B-CATÉGORIES,DIR,8A - QUESTIONS,0
15A - VÊTEMENTS,1,0,7B-CATÉGORIES,vêtements0@7B-CATÉGORIES,DIR,15A - VÊTEMENTS,0
 ,2,0,7B-CATÉGORIES, 0@7B-CATÉGORIES,NO,,0
4A - AIMER,3,0,7B-CATÉGORIES,mots pour j'aime ça0@7B-CATÉGORIES,DIR,4A - AIMER,0
16A - CHOSES ET OBJETS,1,1,7B-CATÉGORIES,choses / objets@7B-CATÉGORIES,DIR,16A - CHOSES ET OBJETS,0
23A - SENTIMENTS,2,1,7B-CATÉGORIES,émotions /sentiments@7B-CATÉGORIES,DIR,23A - SENTIMENTS,0
4C - NE PAS AIMER,3,1,7B-CATÉGORIES,mots pour je n'aime pas ça@7B-CATÉGORIES,DIR,4C - NE PAS AIMER,0
oups,4,1,7B-CATÉGORIES,oups0@7B-CATÉGORIES,NO,,0
26A - RELIGION,1,2,7B-CATÉGORIES,religion@7B-CATÉGORIES,DIR,26A - RELIGION,0
6A - CORPS,2,2,7B-CATÉGORIES,parties du corps@7B-CATÉGORIES,DIR,6A - CORPS,0
5A - QQC NE VA PAS,3,2,7B-CATÉGORIES,mots pour quelque chose qui ne va pas@7B-CATÉGORIES,DIR,5A - QQC NE VA PAS,0
ceci n'est pas dans le PODD,4,2,7B-CATÉGORIES,ceci n'est pas dans le PODD@7B-CATÉGORIES,NO,,0
 ,2,0,7B-CATÉGORIES, 0@7B-CATÉGORIES,NO,,0
oups,4,1,7B-CATÉGORIES,oups0@7B-CATÉGORIES,NO,,0
ceci n'est pas dans le PODD,4,2,7B-CATÉGORIES,ceci n'est pas dans le PODD@7B-CATÉGORIES,NO,,0
 ,2,0,7B-CATÉGORIES, 0@7B-CATÉGORIES,NO,,0
oups,4,1,7B-CATÉGORIES,oups0@7B-CATÉGORIES,NO,,0
ceci n'est pas dans le PODD,4,2,7B-CATÉGORIES,ceci n'est pas dans le PODD@7B-CATÉGORIES,NO,,0
 ,2,0,7B-CATÉGORIES, 0@7B-CATÉGORIES,NO,,0
oups,4,1,7B-CATÉGORIES,oups0@7B-CATÉGORIES,NO,,0
ceci n'est pas dans le PODD,4,2,7B-CATÉGORIES,ceci n'est pas dans le PODD@7B-CATÉGORIES,NO,,0
Est-ce que ? Réponds : non ou oui,0,0,8A - QUESTIONS,Est-ce que ? Réponds : non ou oui@8A - QUESTIONS,NO,,0
où ?,1,0,8A - QUESTIONS,où ?@8A - QUESTIONS,NO,,0
comment,2,0,8A - QUESTIONS,comment@8A - QUESTIONS,NO,,0
ne... pas/plus,3,0,8A - QUESTIONS,ne... pas/plus2@8A - QUESTIONS,NO,,0
pourquoi ?,0,1,8A - QUESTIONS,pourquoi ?@8A - QUESTIONS,NO,,0
quand ?,1,1,8A - QUESTIONS,quand ?@8A - QUESTIONS,NO,,0
qu'est-ce qui se passe ?,2,1,8A - QUESTIONS,qu'est-ce qui se passe ?@8A - QUESTIONS,NO,,0
ça / c'est,3,1,8A - QUESTIONS,ça / c'est0@8A - QUESTIONS,NO,,0
oups,4,1,8A - QUESTIONS,oups15@8A - QUESTIONS,NO,,0
"quoi, que, qu'est-ce que",0,2,8A - QUESTIONS,"quoi, que, qu'est-ce que@8A - QUESTIONS",NO,,0
(à) qui ?,1,2,8A - QUESTIONS,(à) qui ?@8A - QUESTIONS,NO,,0
où est ? (une personne),2,2,8A - QUESTIONS,où est ? (une personne)@8A - QUESTIONS,NO,,0
8B - QUESTIONS,3,2,8A - QUESTIONS,tourner la page6@8A - QUESTIONS,DIR,8B - QUESTIONS,0
"je, moi, mon, le mien",0,0,15A - VÊTEMENTS,"je, moi, mon, le mien1@15A - VÊTEMENTS",NO,,0
"enfiler, s'habiller",1,0,15A - VÊTEMENTS,"enfiler, s'habiller@15A - VÊTEMENTS",NO,,0
"[ajouter les vêtements fréquemment portés par l'enfant / on peut aussi ajouter un lien vers ""maquillages"", ""bijoux"",... en fonction de l'enfant]",2,0,15A - VÊTEMENTS,"[ajouter les vêtements fréquemment portés par l'enfant / on peut aussi ajouter un lien vers ""maquillages"", ""bijoux"",... en fonction de l'enfant]@15A - VÊTEMENTS",NO,,0
chaussures,3,0,15A - VÊTEMENTS,chaussures@15A - VÊTEMENTS,NO,,0
ne... pas / plus,0,1,15A - VÊTEMENTS,ne... pas / plus5@15A - VÊTEMENTS,NO,,0
"enlever, se déshabiller",1,1,15A - VÊTEMENTS,"enlever, se déshabiller@15A - VÊTEMENTS",NO,,0
,2,1,15A - VÊTEMENTS,1@15A - VÊTEMENTS,NO,,0
chapeau,3,1,15A - VÊTEMENTS,chapeau@15A - VÊTEMENTS,NO,,0
oups,4,1,15A - VÊTEMENTS,oups43@15A - VÊTEMENTS,NO,,0
changer,0,2,15A - VÊTEMENTS,changer@15A - VÊTEMENTS,NO,,0
vêtements,1,2,15A - VÊTEMENTS,vêtements1@15A - VÊTEMENTS,NO,,0
,2,2,15A - VÊTEMENTS,2@15A - VÊTEMENTS,NO,,0
15B - VÊTEMENTS,3,2,15A - VÊTEMENTS,tourner la page18@15A - VÊTEMENTS,DIR,15B - VÊTEMENTS,0
ne... pas/plus,0,0,4A - AIMER,ne... pas/plus@4A - AIMER,NO,,0
"rigolo, drôle",1,0,4A - AIMER,"rigolo, drôle@4A - AIMER",NO,,0
"bon, miam",2,0,4A - AIMER,"bon, miam@4A - AIMER",NO,,0
bravo !,3,0,4A - AIMER,bravo !@4A - AIMER,NO,,0
chouette !,0,1,4A - AIMER,chouette !@4A - AIMER,NO,,0
amusant,1,1,4A - AIMER,amusant@4A - AIMER,NO,,0
préféré,2,1,4A - AIMER,préféré@4A - AIMER,NO,,0
ok,3,1,4A - AIMER,ok@4A - AIMER,NO,,0
oups,4,1,4A - AIMER,oups7@4A - AIMER,NO,,0
bien,0,2,4A - AIMER,bien@4A - AIMER,NO,,0
intelligent,1,2,4A - AIMER,intelligent@4A - AIMER,NO,,0
gentil,2,2,4A - AIMER,gentil@4A - AIMER,NO,,0
4B - AIMER,3,2,4A - AIMER,tourner la page2@4A - AIMER,DIR,4B - AIMER,0
oups,4,1,Accueil,oups@Accueil,NO,,0
ceci n'est pas dans le podd,4,2,Accueil,ceci n'est pas dans le podd@Accueil,NO,,0
"je, moi, mon, le mien",0,0,17A - MAISON ET JARDIN,"je, moi, mon, le mien3@17A - MAISON ET JARDIN",NO,,0
avoir,1,0,17A - MAISON ET JARDIN,avoir4@17A - MAISON ET JARDIN,NO,,0
cuisine (liste),2,0,17A - MAISON ET JARDIN,cuisine (liste)@17A - MAISON ET JARDIN,NO,,0
17D - EXTÉRIEUR,3,0,17A - MAISON ET JARDIN,extérieur@17A - MAISON ET JARDIN,DIR,17D - EXTÉRIEUR,0
"tu, toi, ton, le tien, vous, le votre",0,1,17A - MAISON ET JARDIN,"tu, toi, ton, le tien, vous, le votre0@17A - MAISON ET JARDIN",NO,,0
aller,1,1,17A - MAISON ET JARDIN,aller7@17A - MAISON ET JARDIN,NO,,0
salon (liste),2,1,17A - MAISON ET JARDIN,salon (liste)@17A - MAISON ET JARDIN,NO,,0
chambre (liste),3,1,17A - MAISON ET JARDIN,chambre (liste)@17A - MAISON ET JARDIN,NO,,0
oups,4,1,17A - MAISON ET JARDIN,oups49@17A - MAISON ET JARDIN,NO,,0
ne... pas / plus,0,2,17A - MAISON ET JARDIN,ne... pas / plus7@17A - MAISON ET JARDIN,NO,,0
(de)dans,1,2,17A - MAISON ET JARDIN,(de)dans1@17A - MAISON ET JARDIN,NO,,0
salle de bain (liste),2,2,17A - MAISON ET JARDIN,salle de bain (liste)@17A - MAISON ET JARDIN,NO,,0
17B - MAISON ET JARDIN,3,2,17A - MAISON ET JARDIN,tourner la page21@17A - MAISON ET JARDIN,DIR,17B - MAISON ET JARDIN,0
"je, moi, mon, le mien",0,0,16A - CHOSES ET OBJETS,"je, moi, mon, le mien2@16A - CHOSES ET OBJETS",NO,,0
prendre,1,0,16A - CHOSES ET OBJETS,prendre1@16A - CHOSES ET OBJETS,NO,,0
sac,2,0,16A - CHOSES ET OBJETS,sac0@16A - CHOSES ET OBJETS,NO,,0
16C - MATÉRIEL,3,0,16A - CHOSES ET OBJETS,matériel spécialisé@16A - CHOSES ET OBJETS,DIR,16C - MATÉRIEL,0
"tu, toi, ton, le tien, vous, le votre",0,1,16A - CHOSES ET OBJETS,"tu, toi, ton, le tien, vous, le votre@16A - CHOSES ET OBJETS",NO,,0
vouloir,1,1,16A - CHOSES ET OBJETS,vouloir2@16A - CHOSES ET OBJETS,NO,,0
mouchoirs,2,1,16A - CHOSES ET OBJETS,mouchoirs@16A - CHOSES ET OBJETS,NO,,0
"42 - OUTILS, CONTRUIRE",3,1,16A - CHOSES ET OBJETS,outils@16A - CHOSES ET OBJETS,DIR,"42 - OUTILS, CONTRUIRE",0
oups,4,1,16A - CHOSES ET OBJETS,oups46@16A - CHOSES ET OBJETS,NO,,0
ne... pas / plus,0,2,16A - CHOSES ET OBJETS,ne... pas / plus6@16A - CHOSES ET OBJETS,NO,,0
"pile, batterie",1,2,16A - CHOSES ET OBJETS,"pile, batterie@16A - CHOSES ET OBJETS",NO,,0
"nouveau, neuf",2,2,16A - CHOSES ET OBJETS,"nouveau, neuf@16A - CHOSES ET OBJETS",NO,,0
16B - CHOSES ET OBJETS,3,2,16A - CHOSES ET OBJETS,tourner la page20@16A - CHOSES ET OBJETS,DIR,16B - CHOSES ET OBJETS,0
"je, moi, mon, le mien",0,0,23A - SENTIMENTS,"je, moi, mon, le mien8@23A - SENTIMENTS",NO,,0
